Atlanta, Hawks, Atlanta Hawks, ATL
Boston, Celtics, Boston Celtics, BOS
Brooklyn, Nets, Brooklyn Nets, BRK
Charlotte, Hornets, Charlotte Hornets, CHO
Chicago, Bulls, Chicago Bulls, CHI
Cleveland, Cavaliers, Cleveland Cavaliers, CLE
Dallas, Mavericks, Dallas Mavericks, DAL
Denver, Nuggets, Denver Nuggets, DEN
Detroit, Pistons, Detroit Pistons, DET
Golden State, Warriors, Golden State Warriors, GSW
Houston, Rockets, Houston Rockets, HOU
Indiana, Pacers, Indiana Pacers, IND
LA Clippers, Clippers, Los Angeles Clippers, LAC
LA Lakers, Lakers, Los Angeles Lakers, LAL
Memphis, Grizzlies, Memphis Grizzlies, MEM
Miami, Heat, Miami Heat, MIA
Milwaukee, Bucks, Milwaukee Bucks, MIL
Minnesota, Timberwolves, Minnesota Timberwolves, MIN
New Orleans, Pelicans, New Orleans Pelicans, NOP
New York, Knicks, New York Knicks, NYK
Orlando, Magic, Orlando Magic, ORL
Oklahoma City, Thunders, Oklahoma City Thunders, OKC
Philadelphia, Sixers, Philadelphia 76ers, PHI
Phoenix, Suns, Phoenix Suns, PHO
Portland, Blazers, Portland Trail Blazers, POR
Sacramento, Kings, Sacramento Kings, SAC
San Antonio, Spurs, San Antonio Spurs, SAS
Toronto, Raptors, Toronto Raptors, TOR
Utah, Jazz, Utah Jazz, UTA
Washington, Wizards, Washington Wizards, WAS
